case_id,family,label,formula,natoms,initial_energy_eV,final_energy_eV,deltaE_family_eV,energy_per_atom_eV,max_force_eVA,n_steps,converged,stage,site,co_idx,orientation,vacancy_site
39,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az330,H2Ba16Co16O49,83,-540.6696166992188,-542.41357421875,0.0,-6.535103303840361,1.138185977935791,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az330,
35,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az210,H2Ba16Co16O49,83,-540.6696166992188,-542.4135131835938,6.103515625e-05,-6.535102568477033,1.138899326324463,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az210,
22,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az210,H2Ba16Co16O49,83,-540.3274536132812,-542.3538208007812,0.05975341796875,-6.534383383141943,1.0420304536819458,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az210,
26,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az330,H2Ba16Co16O49,83,-540.3274536132812,-542.3538208007812,0.05975341796875,-6.534383383141943,1.0420489311218262,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az330,
27,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt0_az0,H2Ba16Co16O49,83,-540.800048828125,-542.2991333007812,0.11444091796875,-6.533724497599774,0.6941058039665222,16,False,stage1,direct_co_o_bridge,,co_bound_tilt0_az0,
28,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az0,H2Ba16Co16O49,83,-540.8052368164062,-542.2535400390625,0.1600341796875,-6.533175181193524,0.6011666655540466,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az0,
34,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az180,H2Ba16Co16O49,83,-540.8052368164062,-542.2535400390625,0.1600341796875,-6.533175181193524,0.6011511087417603,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az180,
14,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt0_az0,H2Ba16Co16O49,83,-540.5892333984375,-542.1951293945312,0.21844482421875,-6.5324714384883285,0.6179347634315491,16,False,stage1,direct_co_o_bridge,,co_bound_tilt0_az0,
29,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az30,H2Ba16Co16O49,83,-540.8775634765625,-542.1350708007812,0.27850341796875,-6.531747840973268,0.5504398941993713,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az30,
33,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az150,H2Ba16Co16O49,83,-540.8775634765625,-542.1350708007812,0.27850341796875,-6.531747840973268,0.5504087805747986,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az150,
36,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az240,H2Ba16Co16O49,83,-540.5155639648438,-542.0478515625,0.36572265625,-6.530697006777109,0.6547762751579285,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az240,
38,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az300,H2Ba16Co16O49,83,-540.5155639648438,-542.0478515625,0.36572265625,-6.530697006777109,0.6547790169715881,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az300,
30,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az60,H2Ba16Co16O49,83,-540.9004516601562,-541.97314453125,0.4404296875,-6.529796922063253,0.7882604598999023,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az60,
32,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az120,H2Ba16Co16O49,83,-540.9004516601562,-541.97314453125,0.4404296875,-6.529796922063253,0.7881736159324646,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az120,
31,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az90,H2Ba16Co16O49,83,-540.901611328125,-541.8917846679688,0.52178955078125,-6.528816682746611,0.9030013680458069,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az90,
3,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az30,H2Ba16Co16O49,83,-540.0676879882812,-541.8390502929688,0.57452392578125,-6.528181328830949,0.7297181487083435,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az30,
7,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az150,H2Ba16Co16O49,83,-540.0676879882812,-541.8390502929688,0.57452392578125,-6.528181328830949,0.7296421527862549,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az150,
2,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az0,H2Ba16Co16O49,83,-539.9242553710938,-541.7860107421875,0.6275634765625,-6.527542298098645,1.1613459587097168,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az0,
8,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az180,H2Ba16Co16O49,83,-539.9242553710938,-541.7860107421875,0.6275634765625,-6.527542298098645,1.1613575220108032,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az180,
16,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az30,H2Ba16Co16O49,83,-540.650634765625,-541.7593383789062,0.65423583984375,-6.5272209443241715,0.6968360543251038,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az30,
20,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az150,H2Ba16Co16O49,83,-540.650634765625,-541.7593383789062,0.65423583984375,-6.5272209443241715,0.6968367695808411,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az150,
17,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az60,H2Ba16Co16O49,83,-540.6729736328125,-541.7564697265625,0.6571044921875,-6.527186382247741,0.706081211566925,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az60,
19,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az120,H2Ba16Co16O49,83,-540.6729736328125,-541.7564697265625,0.6571044921875,-6.527186382247741,0.7060819268226624,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az120,
18,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az90,H2Ba16Co16O49,83,-540.6590576171875,-541.754638671875,0.658935546875,-6.527164321347891,0.700074315071106,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az90,
1,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt0_az0,H2Ba16Co16O49,83,-540.0174560546875,-541.737060546875,0.676513671875,-6.526952536709337,0.8532879948616028,16,False,stage1,direct_co_o_bridge,,co_bound_tilt0_az0,
15,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az0,H2Ba16Co16O49,83,-540.53662109375,-541.722900390625,0.690673828125,-6.526781932417169,0.7010254263877869,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az0,
21,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az180,H2Ba16Co16O49,83,-540.53662109375,-541.722900390625,0.690673828125,-6.526781932417169,0.7010277509689331,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az180,
9,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az210,H2Ba16Co16O49,83,-539.6520385742188,-541.68017578125,0.7333984375,-6.526267178087349,1.3410600423812866,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az210,
13,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az330,H2Ba16Co16O49,83,-539.6520385742188,-541.68017578125,0.7333984375,-6.526267178087349,1.3411575555801392,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az330,
5,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az90,H2Ba16Co16O49,83,-540.03125,-541.5874633789062,0.82611083984375,-6.525150161191641,0.9312870502471924,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az90,
