case_id,family,label,formula,natoms,initial_energy_eV,final_energy_eV,deltaE_family_eV,energy_per_atom_eV,max_force_eVA,n_steps,converged,stage,site,co_idx,orientation,vacancy_site
35,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az210,H2Ba16Co16O49,83,-542.4135131835938,-544.8475341796875,0.0,-6.564428122646837,0.00876469723880291,193,True,final,direct_co_o_bridge,,co_bound_tilt30_az210,
39,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az330,H2Ba16Co16O49,83,-542.41357421875,-544.8474731445312,6.103515625e-05,-6.564427387283509,0.008780857548117638,193,True,final,direct_co_o_bridge,,co_bound_tilt30_az330,
106,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az0,H2Ba16Co16O48,82,-537.3511352539062,-539.6277465820312,0.0,-6.58082617782965,0.009101667441427708,667,True,final,vacancy_center,,co_bound_tilt30_az0,
138,vacancy_center__H2O,H2O_offset_y+_h1p90_co_bound_tilt30_az180,H2Ba16Co16O48,82,-537.364990234375,-539.6177368164062,0.010009765625,-6.58070410751715,0.009575257077813148,475,True,final,vacancy_center,,co_bound_tilt30_az180,
150,vacancy_center__H2O2,H2O2_center_h1p80_default_tilt30_az150,H2Ba16Co16O49,83,-542.7465209960938,-544.7077026367188,0.0,-6.5627434052616715,0.009864486753940582,865,True,final,vacancy_center,,default_tilt30_az150,
170,vacancy_center__H2O2,H2O2_offset_diag_h1p90_default_tilt0_az0,H2Ba16Co16O49,83,-542.9449462890625,-544.6165161132812,0.0911865234375,-6.5616447724491715,0.03217857703566551,900,False,final,vacancy_center,,default_tilt0_az0,
41,vacancy_center__OH,OH_center_h1p40_co_bound_tilt30_az0,HBa16Co16O48,81,-532.9359130859375,-535.135986328125,0.0,-6.606617115162037,0.007221798412501812,220,True,final,vacancy_center,,co_bound_tilt30_az0,
86,vacancy_center__OH,OH_offset_y+_h1p60_co_bound_tilt30_az180,HBa16Co16O48,81,-532.9957275390625,-535.1347045898438,0.00128173828125,-6.606601291232639,0.009171298705041409,203,True,final,vacancy_center,,co_bound_tilt30_az180,
266,vacancy_co_top_13__H2O2,H2O2_cotop13_h1p90_default_tilt30_az120,H2Ba16Co16O49,83,-541.311767578125,-544.8416137695312,0.0,-6.564356792403991,0.009771643206477165,730,True,final,vacancy_co_top_13,,default_tilt30_az120,
270,vacancy_co_top_13__H2O2,H2O2_cotop13_h1p90_default_tilt30_az240,H2Ba16Co16O49,83,-541.310791015625,-544.7149658203125,0.12664794921875,-6.562830913497741,0.009780199266970158,743,True,final,vacancy_co_top_13,,default_tilt30_az240,
239,vacancy_co_top_13__OH,OH_cotop13_h1p70_co_bound_tilt30_az90,HBa16Co16O48,81,-532.6417846679688,-535.5274047851562,0.0,-6.611449441792052,0.005707905627787113,757,True,final,vacancy_co_top_13,,co_bound_tilt30_az90,
237,vacancy_co_top_13__OH,OH_cotop13_h1p70_co_bound_tilt30_az30,HBa16Co16O48,81,-532.6392211914062,-535.2195434570312,0.307861328125,-6.6076486846547065,0.009855899028480053,440,True,final,vacancy_co_top_13,,co_bound_tilt30_az30,
220,vacancy_co_top_3__H2O2,H2O2_cotop3_h1p90_default_tilt30_az300,H2Ba16Co16O49,83,-541.3117065429688,-544.841552734375,0.0,-6.564356057040663,0.00997785571962595,703,True,final,vacancy_co_top_3,,default_tilt30_az300,
209,vacancy_co_top_3__H2O2,H2O2_cotop3_h1p90_default_tilt0_az0,H2Ba16Co16O49,83,-542.549072265625,-544.6751098632812,0.16644287109375,-6.562350721244353,0.029191546142101288,900,False,final,vacancy_co_top_3,,default_tilt0_az0,
195,vacancy_co_top_3__OH,OH_cotop3_h1p70_co_bound_tilt30_az330,HBa16Co16O48,81,-532.6392211914062,-535.2196655273438,0.0,-6.607650191695602,0.009791870601475239,436,True,final,vacancy_co_top_3,,co_bound_tilt30_az330,
193,vacancy_co_top_3__OH,OH_cotop3_h1p70_co_bound_tilt30_az270,HBa16Co16O48,81,-532.6417846679688,-535.2195434570312,0.0001220703125,-6.6076486846547065,0.009888283908367157,560,True,final,vacancy_co_top_3,,co_bound_tilt30_az270,
