case_id,family,label,formula,natoms,initial_energy_eV,final_energy_eV,deltaE_family_eV,energy_per_atom_eV,max_force_eVA,n_steps,converged,stage,site,co_idx,orientation,vacancy_site
527,direct_co_o_bridge__H2O2,H2O2_default_tilt30_az150,H2Ba16Co16O50,84,-545.2081298828125,-548.6590576171875,0.0,-6.531655447823661,0.00959053449332714,389,True,final,co_o_bridge,3,default_tilt30_az150,
27,direct_co_o_bridge__O,O_atom_tilt0_az0,Ba16Co16O49,81,-532.4068603515625,-535.0685424804688,0.0,-6.605784475067516,0.009664512239396572,237,True,final,co_o_bridge,3,atom_tilt0_az0,
304,direct_co_o_bridge__O2,O2_side_on_tilt30_az90,Ba16Co16O50,82,-537.279541015625,-539.2214965820312,0.0,-6.575871909536967,0.009822876192629337,240,True,final,co_o_bridge,3,side_on_tilt30_az90,
120,direct_co_o_bridge__OH,OH_co_bound_tilt30_az30,HBa16Co16O49,82,-536.4177856445312,-539.28076171875,0.0,-6.576594655106708,0.005222277250140905,147,True,final,co_o_bridge,3,co_bound_tilt30_az30,
454,direct_co_o_bridge__OOH,OOH_default_tilt30_az300,HBa16Co16O50,83,-540.44384765625,-544.304931640625,0.0,-6.557890742658133,0.00952011626213789,282,True,final,co_o_bridge,3,default_tilt30_az300,
170,direct_co_top__H2O,H2O_co_bound_tilt0_az0,H2Ba16Co16O49,83,-541.7920532226562,-544.6804809570312,0.0,-6.562415433217244,0.0065392241813242435,348,True,final,co_top,,co_bound_tilt0_az0,
508,direct_co_top__H2O2,H2O2_default_tilt0_az0,H2Ba16Co16O50,84,-544.8450927734375,-548.6209106445312,0.0,-6.531201317196801,0.009562338702380657,254,True,final,co_top,,default_tilt0_az0,
1,direct_co_top__O,O_atom_tilt0_az0,Ba16Co16O49,81,-531.7178955078125,-534.0307006835938,0.0,-6.592971613377701,0.009786369279026985,202,True,final,co_top,,atom_tilt0_az0,
236,direct_co_top__O2,O2_end_on_tilt30_az0,Ba16Co16O50,82,-537.2490234375,-539.2088623046875,0.0,-6.575717832983994,0.008954501710832119,265,True,final,co_top,,end_on_tilt30_az0,
93,direct_co_top__OH,OH_co_bound_tilt30_az0,HBa16Co16O49,82,-536.7450561523438,-539.273681640625,0.0,-6.576508312690549,0.00794060155749321,188,True,final,co_top,,co_bound_tilt30_az0,
