context,source,move,target,source_state,target_state
direct_co_o_bridge,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,-O,direct_co_o_bridge__O__O_atom_tilt0_az0,O2,O
direct_co_o_bridge,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,+H,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,O2,OOH
direct_co_o_bridge,direct_co_o_bridge__O__O_atom_tilt0_az0,+O,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,O,O2
direct_co_o_bridge,direct_co_o_bridge__O__O_atom_tilt0_az0,+H,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,O,OH
direct_co_o_bridge,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,+O,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,OH,OOH
direct_co_o_bridge,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,+H,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210,OH,H2O
direct_co_o_bridge,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,+H,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az330,OH,H2O
direct_co_o_bridge,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,-H,direct_co_o_bridge__O__O_atom_tilt0_az0,OH,O
direct_co_o_bridge,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,-O,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,OOH,OH
direct_co_o_bridge,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,+H,direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,OOH,H2O2
direct_co_o_bridge,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,-H,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,OOH,O2
direct_co_o_bridge,direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,-O,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210,H2O2,H2O
