path_id,context,step_index,state,state_label,node_id,final_energy_eV,relative_to_start_eV,delta_from_previous_step_eV,max_force_eVA
path_1,direct_co_o_bridge,0,O2,OO*,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,-539.221497,0.000000,0.000000,0.009823
path_1,direct_co_o_bridge,1,O,O*,direct_co_o_bridge__O__O_atom_tilt0_az0,-535.068542,4.152954,4.152954,0.009665
path_1,direct_co_o_bridge,2,OH,OH*,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,-539.280762,-0.059265,-4.212219,0.005222
path_1,direct_co_o_bridge,3,OOH,OOH*,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,-544.304932,-5.083435,-5.024170,0.009520
path_1,direct_co_o_bridge,4,H2O2,H2O2*,direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,-548.659058,-9.437561,-4.354126,0.009591
path_1,direct_co_o_bridge,5,H2O,H2O*,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210,-544.847534,-5.626038,3.811523,0.008765
path_2,direct_co_o_bridge,0,O2,OO*,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,-539.221497,0.000000,0.000000,0.009823
path_2,direct_co_o_bridge,1,O,O*,direct_co_o_bridge__O__O_atom_tilt0_az0,-535.068542,4.152954,4.152954,0.009665
path_2,direct_co_o_bridge,2,OH,OH*,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,-539.280762,-0.059265,-4.212219,0.005222
path_2,direct_co_o_bridge,3,OOH,OOH*,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,-544.304932,-5.083435,-5.024170,0.009520
path_2,direct_co_o_bridge,4,H2O2,H2O2*,direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,-548.659058,-9.437561,-4.354126,0.009591
path_2,direct_co_o_bridge,5,H2O,H2O*,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az330,-544.847473,-5.625977,3.811584,0.008781
path_3,direct_co_o_bridge,0,O2,OO*,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,-539.221497,0.000000,0.000000,0.009823
path_3,direct_co_o_bridge,1,OOH,OOH*,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,-544.304932,-5.083435,-5.083435,0.009520
path_3,direct_co_o_bridge,2,OH,OH*,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,-539.280762,-0.059265,5.024170,0.005222
path_3,direct_co_o_bridge,3,O,O*,direct_co_o_bridge__O__O_atom_tilt0_az0,-535.068542,4.152954,4.212219,0.009665
path_4,direct_co_o_bridge,0,O2,OO*,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,-539.221497,0.000000,0.000000,0.009823
path_4,direct_co_o_bridge,1,OOH,OOH*,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,-544.304932,-5.083435,-5.083435,0.009520
path_4,direct_co_o_bridge,2,OH,OH*,direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,-539.280762,-0.059265,5.024170,0.005222
path_4,direct_co_o_bridge,3,H2O,H2O*,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210,-544.847534,-5.626038,-5.566772,0.008765
path_4,direct_co_o_bridge,4,H2O2,H2O2*,direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,-548.659058,-9.437561,-3.811523,0.009591
path_5,direct_co_o_bridge,0,O2,OO*,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,-539.221497,0.000000,0.000000,0.009823
path_5,direct_co_o_bridge,1,OOH,OOH*,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,-544.304932,-5.083435,-5.083435,0.009520
