node_id,context,family,label,state,site,co_idx,final_energy_eV,max_force_eVA
direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge,direct_co_o_bridge__O2,O2_side_on_tilt30_az90,O2,co_o_bridge,3,-539.2214965820312,0.009822876192629337
direct_co_o_bridge__O__O_atom_tilt0_az0,direct_co_o_bridge,direct_co_o_bridge__O,O_atom_tilt0_az0,O,co_o_bridge,3,-535.0685424804688,0.009664512239396572
direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,direct_co_o_bridge,direct_co_o_bridge__OH,OH_co_bound_tilt30_az30,OH,co_o_bridge,3,-539.28076171875,0.005222277250140905
direct_co_o_bridge__OOH__OOH_default_tilt30_az300,direct_co_o_bridge,direct_co_o_bridge__OOH,OOH_default_tilt30_az300,OOH,co_o_bridge,3,-544.304931640625,0.00952011626213789
direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,direct_co_o_bridge,direct_co_o_bridge__H2O2,H2O2_default_tilt30_az150,H2O2,co_o_bridge,3,-548.6590576171875,0.00959053449332714
direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210,direct_co_o_bridge,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az210,H2O,direct_co_o_bridge,,-544.8475341796875,0.00876469723880291
direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az330,direct_co_o_bridge,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az330,H2O,direct_co_o_bridge,,-544.8474731445312,0.008780857548117638
direct_co_top__O2__O2_end_on_tilt30_az0,direct_co_top,direct_co_top__O2,O2_end_on_tilt30_az0,O2,co_top,,-539.2088623046875,0.008954501710832119
direct_co_top__O__O_atom_tilt0_az0,direct_co_top,direct_co_top__O,O_atom_tilt0_az0,O,co_top,,-534.0307006835938,0.009786369279026985
direct_co_top__OH__OH_co_bound_tilt30_az0,direct_co_top,direct_co_top__OH,OH_co_bound_tilt30_az0,OH,co_top,,-539.273681640625,0.00794060155749321
direct_co_top__OOH__OOH_default_tilt30_az30,direct_co_top,direct_co_top__OOH,OOH_default_tilt30_az30,OOH,co_top,,-544.4213256835938,0.009943440556526184
