"family","label","state","deltaE_family_eV","final_energy_eV","max_force_eVA","site","co_idx","orientation","min_contact_ratio","structure_dir","structure_cif"
"direct_co_o_bridge__H2O","H2O_bridge_h2p10_co_bound_tilt30_az210","H2O","0.0","-544.8475341796875","0.00876469723880291","direct_co_o_bridge",,"co_bound_tilt30_az210","0.8700002407430815","direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210","direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210\structure.cif"
"direct_co_o_bridge__H2O","H2O_bridge_h2p10_co_bound_tilt30_az330","H2O","6.103515625E-05","-544.8474731445312","0.008780857548117638","direct_co_o_bridge",,"co_bound_tilt30_az330","0.8700003436482437","direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az330","direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az330\structure.cif"
"direct_co_o_bridge__H2O2","H2O2_default_tilt30_az150","H2O2","0.0","-548.6590576171875","0.00959053449332714","co_o_bridge","3","default_tilt30_az150","0.8845700148687935","direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150","direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150\structure.cif"
"direct_co_o_bridge__O","O_atom_tilt0_az0","O","0.0","-535.0685424804688","0.009664512239396572","co_o_bridge","3","atom_tilt0_az0","0.8671105069578116","direct_co_o_bridge__O__O_atom_tilt0_az0","direct_co_o_bridge__O__O_atom_tilt0_az0\structure.cif"
"direct_co_o_bridge__O2","O2_side_on_tilt30_az90","O2","0.0","-539.2214965820312","0.009822876192629337","co_o_bridge","3","side_on_tilt30_az90","0.8763718979266195","direct_co_o_bridge__O2__O2_side_on_tilt30_az90","direct_co_o_bridge__O2__O2_side_on_tilt30_az90\structure.cif"
"direct_co_o_bridge__OH","OH_co_bound_tilt30_az30","OH","0.0","-539.28076171875","0.005222277250140905","co_o_bridge","3","co_bound_tilt30_az30","0.8846804197038898","direct_co_o_bridge__OH__OH_co_bound_tilt30_az30","direct_co_o_bridge__OH__OH_co_bound_tilt30_az30\structure.cif"
"direct_co_o_bridge__OOH","OOH_default_tilt30_az300","OOH","0.0","-544.304931640625","0.00952011626213789","co_o_bridge","3","default_tilt30_az300","0.8837893749035977","direct_co_o_bridge__OOH__OOH_default_tilt30_az300","direct_co_o_bridge__OOH__OOH_default_tilt30_az300\structure.cif"
"direct_co_top__H2O","H2O_co_bound_tilt0_az0","H2O","0.0","-544.6804809570312","0.0065392241813242435","co_top",,"co_bound_tilt0_az0","0.8653712352670218","direct_co_top__H2O__H2O_co_bound_tilt0_az0","direct_co_top__H2O__H2O_co_bound_tilt0_az0\structure.cif"
"direct_co_top__H2O","H2O_co_bound_tilt30_az30","H2O","0.0","-544.4747924804688","0.0094894515350461","co_top",,"co_bound_tilt30_az30","0.8845401916709029","direct_co_top__H2O__H2O_co_bound_tilt30_az30","direct_co_top__H2O__H2O_co_bound_tilt30_az30\structure.cif"
"direct_co_top__H2O2","H2O2_default_tilt0_az0","H2O2","0.0","-548.6209106445312","0.009562338702380657","co_top",,"default_tilt0_az0","0.8656091896668298","direct_co_top__H2O2__H2O2_default_tilt0_az0","direct_co_top__H2O2__H2O2_default_tilt0_az0\structure.cif"
"direct_co_top__O","O_atom_tilt0_az0","O","0.0","-534.0307006835938","0.009786369279026985","co_top",,"atom_tilt0_az0","0.884038372911052","direct_co_top__O__O_atom_tilt0_az0","direct_co_top__O__O_atom_tilt0_az0\structure.cif"
"direct_co_top__O2","O2_end_on_tilt30_az0","O2","0.0","-539.2088623046875","0.008954501710832119","co_top",,"end_on_tilt30_az0","0.8768159063674031","direct_co_top__O2__O2_end_on_tilt30_az0","direct_co_top__O2__O2_end_on_tilt30_az0\structure.cif"
"direct_co_top__OH","OH_co_bound_tilt30_az0","OH","0.0","-539.273681640625","0.00794060155749321","co_top",,"co_bound_tilt30_az0","0.8847107267265505","direct_co_top__OH__OH_co_bound_tilt30_az0","direct_co_top__OH__OH_co_bound_tilt30_az0\structure.cif"
