slab_id,miller_index,shift,formula,natoms,surface_a_A,surface_b_A,surface_area_A2,repeat_a,repeat_b,min_lateral_target_A,min_surface_area_target_A2,slab_scale_factor,top_termination,bottom_termination,is_symmetric,is_polar,n_fixed_bottom_half,bulk_reference_formula,bulk_energy_per_formula_unit_eV,n_formula_units_vs_bulk,slab_initial_energy_eV,slab_final_energy_eV,slab_relax_steps,slab_max_force_eVA,slab_converged,surface_energy_mode,surface_energy_eV_A2,surface_energy_J_m2,surface_energy_rank,output_dir,cif_file,relax_ready_vasp,relaxed_cif_file
hkl_100__term_02__rep_3x3__top_Ba9-O9__bot_Ba9-O9,"1,0,0",0.25,Ba3Co2O7,108,11.944779,11.944779,142.677745358841,3,3,8.0,64.0,"0,1,0;0,0,1;1,0,0",Ba9-O9,Ba9-O9,True,False,45,BaCoO3,-33.35948944091797,,-719.1466674804688,-720.3117065429688,30,0.023490488529205322,True,per_atom_bulk_heuristic,0.0008875433944600157,0.014220012882648821,1,hkl_100__term_02__rep_3x3__top_Ba9-O9__bot_Ba9-O9,hkl_100__term_02__rep_3x3__top_Ba9-O9__bot_Ba9-O9/slab.cif,hkl_100__term_02__rep_3x3__top_Ba9-O9__bot_Ba9-O9/slab_relax_ready.vasp,hkl_100__term_02__rep_3x3__top_Ba9-O9__bot_Ba9-O9/slab_relaxed.cif
hkl_110__term_03__rep_3x2__top_Ba6-Co6-O6__bot_Ba6-Co6-O6,"1,1,0",0.24999999999999994,Ba2Co2O5,108,11.944779,11.261645640899557,134.51786835685857,3,2,8.0,64.0,"0,0,-1;1,-1,0;-1,0,0",Ba6-Co6-O6,Ba6-Co6-O6,True,False,51,BaCoO3,-33.35948944091797,,-714.4324340820312,-718.4130249023438,44,0.029408831149339676,True,per_atom_bulk_heuristic,0.007998740419285923,0.1281539500121127,2,hkl_110__term_03__rep_3x2__top_Ba6-Co6-O6__bot_Ba6-Co6-O6,hkl_110__term_03__rep_3x2__top_Ba6-Co6-O6__bot_Ba6-Co6-O6/slab.cif,hkl_110__term_03__rep_3x2__top_Ba6-Co6-O6__bot_Ba6-Co6-O6/slab_relax_ready.vasp,hkl_110__term_03__rep_3x2__top_Ba6-Co6-O6__bot_Ba6-Co6-O6/slab_relaxed.cif
hkl_211__term_03__rep_1x1__top_Ba2-Co2-O2__bot_Ba2-Co2-O6,"2,1,1",0.12500000000000014,Ba4Co4O11,76,8.90311260673732,8.90311260673732,77.66392750664693,1,1,8.0,64.0,"-1,2,0;-1,0,2;1,0,0",Ba2-Co2-O2,Ba2-Co2-O6,False,False,41,BaCoO3,-33.35948944091797,,-498.4984130859375,-502.40167236328125,61,0.02865336276590824,True,per_atom_bulk_heuristic,0.03001758530865456,0.4809347379062801,3,hkl_211__term_03__rep_1x1__top_Ba2-Co2-O2__bot_Ba2-Co2-O6,hkl_211__term_03__rep_1x1__top_Ba2-Co2-O2__bot_Ba2-Co2-O6/slab.cif,hkl_211__term_03__rep_1x1__top_Ba2-Co2-O2__bot_Ba2-Co2-O6/slab_relax_ready.vasp,hkl_211__term_03__rep_1x1__top_Ba2-Co2-O2__bot_Ba2-Co2-O6/slab_relaxed.cif
hkl_111__term_03__rep_2x2__top_Co4__bot_Co4,"1,1,1",0.25000000000000006,Ba4Co5O12,84,11.261645640899557,11.261645640899557,109.83337958706097,2,2,8.0,64.0,"-1,1,0;-1,0,1;1,0,0",Co4,Co4,True,False,44,BaCoO3,-33.35948944091797,,-546.3829345703125,-552.5360717773438,53,0.01817025989294052,True,per_atom_bulk_heuristic,0.03597882019014731,0.5764442502754146,4,hkl_111__term_03__rep_2x2__top_Co4__bot_Co4,hkl_111__term_03__rep_2x2__top_Co4__bot_Co4/slab.cif,hkl_111__term_03__rep_2x2__top_Co4__bot_Co4/slab_relax_ready.vasp,hkl_111__term_03__rep_2x2__top_Co4__bot_Co4/slab_relaxed.cif
hkl_221__term_02__rep_2x1__top_Ba2-O2__bot_Ba2-Co2-O6,"2,2,1",0.1250000000000001,Ba8Co7O22,74,11.261645640899557,8.90311260673732,95.11849690589398,2,1,8.0,64.0,"-1,1,0;-1,0,2;1,0,0",Ba2-O2,Ba2-Co2-O6,False,False,32,BaCoO3,-33.35948944091797,,-480.06890869140625,-486.3014831542969,72,0.02195858769118786,True,per_atom_bulk_heuristic,0.038998516653543494,0.6248251214296726,5,hkl_221__term_02__rep_2x1__top_Ba2-O2__bot_Ba2-Co2-O6,hkl_221__term_02__rep_2x1__top_Ba2-O2__bot_Ba2-Co2-O6/slab.cif,hkl_221__term_02__rep_2x1__top_Ba2-O2__bot_Ba2-Co2-O6/slab_relax_ready.vasp,hkl_221__term_02__rep_2x1__top_Ba2-O2__bot_Ba2-Co2-O6/slab_relaxed.cif
hkl_210__term_02__rep_3x1__top_Ba3-O3__bot_Ba3-O3,"2,1,0",0.12500000000000006,Ba6Co5O16,81,11.944779,8.90311260673732,106.34571249959119,3,1,8.0,64.0,"0,0,-1;1,-2,0;-1,0,0",Ba3-O3,Ba3-O3,True,False,30,BaCoO3,-33.35948944091797,,-525.6665649414062,-530.5484008789062,67,0.028668245300650597,True,per_atom_bulk_heuristic,0.04643030655327457,0.7438955226911359,6,hkl_210__term_02__rep_3x1__top_Ba3-O3__bot_Ba3-O3,hkl_210__term_02__rep_3x1__top_Ba3-O3__bot_Ba3-O3/slab.cif,hkl_210__term_02__rep_3x1__top_Ba3-O3__bot_Ba3-O3/slab_relax_ready.vasp,hkl_210__term_02__rep_3x1__top_Ba3-O3__bot_Ba3-O3/slab_relaxed.cif
hkl_100__term_01__rep_3x3__top_Co9-O18__bot_Ba9-O9,"1,0,0",0.25,BaCoO3,135,11.944779,11.944779,142.677745358841,3,3,8.0,64.0,"0,1,0;0,0,1;1,0,0",Co9-O18,Ba9-O9,False,False,63,BaCoO3,-33.35948944091797,27.0,-884.9437255859375,-886.06982421875,26,0.029129842296242714,True,bulk_formula_reference,0.051291778718622054,0.8217848937927471,7,hkl_100__term_01__rep_3x3__top_Co9-O18__bot_Ba9-O9,hkl_100__term_01__rep_3x3__top_Co9-O18__bot_Ba9-O9/slab.cif,hkl_100__term_01__rep_3x3__top_Co9-O18__bot_Ba9-O9/slab_relax_ready.vasp,hkl_100__term_01__rep_3x3__top_Co9-O18__bot_Ba9-O9/slab_relaxed.cif
hkl_210__term_01__rep_3x1__top_Co3-O6__bot_Ba3-O3,"2,1,0",0.12500000000000006,BaCoO3,90,11.944779,8.90311260673732,106.34571249959119,3,1,8.0,64.0,"0,0,-1;1,-2,0;-1,0,0",Co3-O6,Ba3-O3,False,False,45,BaCoO3,-33.35948944091797,18.0,-581.9450073242188,-588.4961547851562,183,0.026676170527935028,True,bulk_formula_reference,0.05630060145308265,0.9020350812827547,8,hkl_210__term_01__rep_3x1__top_Co3-O6__bot_Ba3-O3,hkl_210__term_01__rep_3x1__top_Co3-O6__bot_Ba3-O3/slab.cif,hkl_210__term_01__rep_3x1__top_Co3-O6__bot_Ba3-O3/slab_relax_ready.vasp,hkl_210__term_01__rep_3x1__top_Co3-O6__bot_Ba3-O3/slab_relaxed.cif
hkl_111__term_01__rep_2x2__top_Co4__bot_Ba4-O12,"1,1,1",0.25000000000000006,BaCoO3,100,11.261645640899557,11.261645640899557,109.83337958706097,2,2,8.0,64.0,"-1,1,0;-1,0,1;1,0,0",Co4,Ba4-O12,False,True,52,BaCoO3,-33.35948944091797,20.0,-647.3705444335938,-654.0712280273438,53,0.029298441484570503,True,bulk_formula_reference,0.05972028194132464,0.956824403022825,9,hkl_111__term_01__rep_2x2__top_Co4__bot_Ba4-O12,hkl_111__term_01__rep_2x2__top_Co4__bot_Ba4-O12/slab.cif,hkl_111__term_01__rep_2x2__top_Co4__bot_Ba4-O12/slab_relax_ready.vasp,hkl_111__term_01__rep_2x2__top_Co4__bot_Ba4-O12/slab_relaxed.cif
hkl_221__term_01__rep_2x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6,"2,2,1",0.1250000000000001,BaCoO3,80,11.261645640899557,8.90311260673732,95.11849690589398,2,1,8.0,64.0,"-1,1,0;-1,0,2;1,0,0",Ba2-Co2-O6,Ba2-Co2-O6,True,False,44,BaCoO3,-33.35948944091797,16.0,-515.9789428710938,-522.389404296875,171,0.02665563113987446,True,bulk_formula_reference,0.05972774553541348,0.956943982983373,10,hkl_221__term_01__rep_2x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6,hkl_221__term_01__rep_2x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6/slab.cif,hkl_221__term_01__rep_2x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6/slab_relax_ready.vasp,hkl_221__term_01__rep_2x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6/slab_relaxed.cif
hkl_211__term_01__rep_1x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6,"2,1,1",0.12500000000000014,BaCoO3,80,8.90311260673732,8.90311260673732,77.66392750664693,1,1,8.0,64.0,"-1,2,0;-1,0,2;1,0,0",Ba2-Co2-O6,Ba2-Co2-O6,True,True,37,BaCoO3,-33.35948944091797,16.0,-519.0587768554688,-523.104248046875,74,0.019269954413175583,True,bulk_formula_reference,0.06854908932400579,1.0982774919690093,11,hkl_211__term_01__rep_1x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6,hkl_211__term_01__rep_1x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6/slab.cif,hkl_211__term_01__rep_1x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6/slab_relax_ready.vasp,hkl_211__term_01__rep_1x1__top_Ba2-Co2-O6__bot_Ba2-Co2-O6/slab_relaxed.cif
